iter	Passed	Remaining
146	654	3795
147	656	3776
148	658	3759
149	660	3741
150	662	3723
151	664	3706
152	666	3690
153	668	3672
154	670	3655
155	672	3639
156	674	3623
157	676	3607
158	679	3591
159	681	3576
160	683	3561
161	685	3546
162	687	3531
163	689	3515
164	691	3499
165	693	3484
166	695	3471
167	698	3456
168	700	3442
169	702	3427
170	704	3413
171	706	3399
172	708	3385
173	710	3372
174	712	3358
175	714	3345
176	716	3332
177	718	3319
178	720	3305
179	722	3292
180	725	3280
181	726	3267
182	729	3254
183	731	3242
184	733	3229
185	735	3216
186	737	3204
187	739	3193
188	741	3181
189	743	3169
190	745	3158
191	747	3146
192	749	3134
193	751	3122
194	753	3111
195	755	3099
196	757	3088
197	759	3077
198	761	3066
199	763	3054
200	765	3043
201	767	3032
202	769	3022
203	771	3012
204	773	3001
205	776	2991
206	778	2982
207	780	2972
208	782	2962
209	784	2952
210	786	2942
211	788	2932
212	790	2921
213	792	2911
214	794	2902
215	796	2891
216	798	2882
217	801	2873
218	803	2864
219	805	2854
220	807	2844
221	809	2835
222	811	2826
223	813	2818
224	815	2808
225	817	2799
226	819	2790
227	821	2781
228	823	2772
229	825	2763
230	827	2755
231	829	2746
232	831	2737
233	833	2728
234	835	2720
235	837	2711
236	839	2703
237	841	2695
238	844	2687
239	846	2679
240	848	2670
241	850	2662
242	852	2654
243	854	2646
244	856	2638
245	858	2630
246	860	2622
247	862	2614
248	864	2606
249	866	2598
250	868	2590
251	870	2583
252	872	2575
253	874	2568
254	876	2560
255	878	2552
256	880	2545
257	882	2537
258	884	2531
259	886	2524
260	888	2516
261	891	2510
262	893	2503
263	895	2495
264	897	2488
265	899	2480
266	901	2474
267	903	2467
268	905	2460
269	907	2453
270	909	2446
271	911	2439
272	913	2432
273	915	2426
274	917	2419
275	919	2412
276	921	2405
277	923	2398
278	925	2392
279	927	2385
280	929	2379
281	932	2373
282	934	2367
283	936	2360
284	938	2354
285	940	2347
286	942	2341
287	944	2335
288	946	2328
289	948	2322
290	950	2315
291	952	2308
292	954	2302
293	956	2296
294	958	2289
295	960	2283
296	962	2277
297	964	2270
298	966	2264
299	968	2258
300	969	2252
301	971	2246
302	974	2241
303	976	2235
304	978	2229
305	980	2223
306	982	2217
307	984	2211
308	986	2205
309	988	2199
310	990	2194
311	992	2188
312	994	2182
313	996	2176
314	998	2170
315	1000	2164
316	1002	2159
317	1004	2154
318	1006	2148
319	1008	2143
320	1010	2137
321	1012	2132
322	1014	2126
323	1016	2121
324	1018	2116
325	1020	2110
326	1022	2105
327	1024	2099
328	1026	2094
329	1029	2089
330	1031	2083
331	1033	2079
332	1035	2074
333	1037	2068
334	1039	2063
335	1041	2058
336	1043	2053
337	1045	2047
338	1047	2042
339	1049	2037
340	1052	2033
341	1054	2028
342	1056	2022
343	1066	2034
344	1072	2036
345	1077	2036
346	1081	2035
347	1085	2033
348	1088	2031
349	1092	2028
350	1095	2025
351	1098	2021
352	1101	2018
353	1103	2014
354	1106	2010
355	1108	2005
356	1110	2000
357	1112	1995
358	1114	1990
359	1116	1985
360	1119	1980
361	1121	1975
362	1123	1970
363	1125	1965
364	1127	1960
365	1129	1956
366	1131	1951
367	1133	1946
368	1135	1942
369	1137	1937
370	1139	1932
371	1141	1927
372	1143	1922
373	1145	1917
374	1147	1912
375	1149	1908
376	1151	1903
377	1154	1898
378	1156	1894
379	1158	1889
380	1160	1884
381	1162	1880
382	1164	1875
383	1166	1871
384	1168	1866
385	1170	1862
386	1172	1857
387	1174	1852
388	1176	1848
389	1179	1844
390	1181	1839
391	1183	1835
392	1185	1830
393	1187	1826
394	1189	1821
395	1191	1816
396	1193	1812
397	1195	1808
398	1197	1803
399	1199	1799
400	1201	1794
401	1203	1790
402	1205	1785
403	1207	1781
404	1209	1777
405	1211	1772
406	1213	1768
407	1215	1764
408	1218	1760
409	1220	1755
410	1222	1752
411	1224	1747
412	1226	1743
413	1228	1739
414	1230	1735
415	1232	1730
416	1235	1726
417	1237	1722
418	1239	1718
419	1241	1714
420	1243	1709
421	1245	1705
422	1247	1701
423	1249	1697
424	1251	1693
425	1253	1689
426	1255	1685
427	1257	1680
428	1259	1676
429	1261	1672
430	1263	1668
431	1266	1664
432	1268	1660
433	1270	1656
434	1272	1652
435	1274	1648
436	1276	1644
437	1278	1640
438	1280	1636
439	1282	1632
440	1284	1628
441	1286	1624
442	1288	1620
443	1290	1616
444	1292	1611
445	1294	1607
446	1296	1604
447	1298	1600
448	1300	1596
449	1302	1592
450	1304	1588
451	1306	1584
452	1308	1580
453	1310	1576
454	1312	1572
455	1314	1568
456	1316	1564
457	1319	1560
458	1321	1557
459	1323	1553
460	1325	1549
461	1327	1545
462	1329	1541
463	1331	1538
464	1333	1534
465	1335	1530
466	1337	1526
467	1339	1523
468	1341	1519
469	1343	1515
470	1345	1511
471	1347	1507
472	1349	1504
473	1351	1500
474	1354	1496
475	1356	1492
476	1358	1489
477	1360	1485
478	1362	1481
479	1364	1478
480	1366	1474
481	1368	1470
482	1370	1467
483	1372	1463
484	1374	1459
485	1376	1456
486	1379	1452
487	1381	1448
488	1383	1445
489	1385	1441
490	1387	1438
491	1389	1434
492	1391	1430
493	1393	1427
494	1395	1423
495	1397	1420
496	1399	1416
497	1401	1412
498	1403	1409
499	1405	1405
500	1407	1402
501	1409	1398
502	1412	1395
503	1414	1391
504	1416	1388
505	1418	1384
506	1420	1381
507	1422	1377
508	1424	1374
509	1426	1370
510	1428	1367
511	1430	1363
512	1432	1360
513	1434	1356
514	1436	1353
515	1438	1349
516	1441	1346
517	1443	1342
518	1445	1339
519	1447	1336
520	1449	1332
521	1451	1329
522	1453	1325
523	1456	1322
524	1458	1319
525	1460	1315
526	1462	1312
527	1464	1308
528	1466	1305
529	1468	1302
530	1470	1298
531	1472	1295
532	1474	1292
533	1477	1288
534	1479	1285
535	1481	1282
536	1483	1278
537	1485	1275
538	1487	1272
539	1489	1269
540	1491	1265
541	1493	1262
542	1495	1259
543	1498	1255
544	1500	1252
545	1502	1249
546	1504	1245
547	1506	1242
548	1508	1239
549	1510	1235
550	1512	1232
551	1514	1229
552	1516	1226
553	1518	1222
554	1520	1219
555	1522	1216
556	1525	1212
557	1527	1209
558	1529	1206
559	1531	1203
560	1533	1200
561	1535	1196
562	1537	1193
563	1539	1190
564	1541	1187
565	1544	1183
566	1546	1180
567	1548	1177
568	1550	1174
569	1552	1170
570	1554	1167
571	1556	1164
572	1558	1161
573	1560	1158
574	1562	1154
575	1564	1151
576	1566	1148
577	1568	1145
578	1570	1142
579	1572	1138
580	1574	1135
581	1576	1132
582	1579	1129
583	1581	1126
584	1583	1123
585	1585	1119
586	1587	1117
587	1589	1113
588	1591	1110
589	1593	1107
590	1595	1104
591	1597	1101
592	1599	1097
593	1601	1094
594	1603	1091
595	1605	1088
596	1607	1085
597	1609	1082
598	1611	1079
599	1613	1075
600	1616	1073
601	1618	1070
602	1620	1067
603	1622	1064
604	1625	1061
605	1627	1058
606	1629	1055
607	1631	1051
608	1633	1048
609	1635	1045
610	1637	1042
611	1639	1039
612	1641	1036
613	1643	1033
614	1645	1030
615	1647	1027
616	1649	1024
617	1651	1021
618	1653	1017
619	1655	1014
620	1657	1011
621	1660	1008
622	1662	1005
623	1664	1002
624	1666	999
625	1668	996
626	1670	993
627	1672	990
628	1674	987
629	1676	984
630	1678	981
631	1680	978
632	1682	975
633	1684	972
634	1686	969
635	1688	966
636	1690	963
637	1692	960
638	1694	957
639	1696	954
640	1698	951
641	1701	948
642	1703	945
643	1705	942
644	1707	939
645	1709	936
646	1711	933
647	1713	930
648	1715	927
649	1717	924
650	1719	922
651	1721	919
652	1723	916
653	1725	913
654	1727	910
655	1730	907
656	1732	904
657	1734	901
658	1736	898
659	1738	895
660	1740	892
661	1742	889
662	1744	886
663	1746	883
664	1748	880
665	1750	877
666	1752	875
667	1754	872
668	1756	869
669	1758	866
670	1760	863
671	1762	860
672	1765	857
673	1767	854
674	1769	851
675	1771	848
676	1773	846
677	1775	843
678	1777	840
679	1779	837
680	1782	834
681	1784	831
682	1786	829
683	1788	826
684	1791	823
685	1793	821
686	1796	818
687	1799	815
688	1801	813
689	1803	810
690	1805	807
691	1808	804
692	1810	802
693	1812	799
694	1815	796
695	1817	793
696	1819	791
697	1822	788
698	1824	785
699	1826	782
700	1828	780
701	1831	777
702	1833	774
703	1835	771
704	1838	769
705	1840	766
706	1842	763
707	1844	760
708	1847	758
709	1849	755
710	1851	752
711	1854	749
712	1856	747
713	1858	744
714	1860	741
715	1863	739
716	1865	736
717	1867	733
718	1870	730
719	1872	728
720	1874	725
721	1876	722
722	1879	720
723	1881	717
724	1883	714
725	1885	711
726	1888	709
727	1890	706
728	1892	703
729	1895	701
730	1897	698
731	1899	695
732	1902	692
733	1904	690
734	1906	687
735	1908	684
736	1911	682
737	1913	679
738	1915	676
739	1917	673
740	1920	671
741	1922	668
742	1924	665
743	1927	663
744	1929	660
745	1931	657
746	1933	655
747	1936	652
748	1938	649
749	1940	646
750	1943	644
751	1945	641
752	1948	638
753	1950	636
754	1952	633
755	1955	631
756	1958	628
757	1960	625
758	1963	623
759	1966	620
760	1968	618
761	1971	615
762	1973	613
763	1976	610
764	1978	607
765	1981	605
766	1983	602
767	1985	599
768	1987	597
769	1989	594
770	1992	591
771	1994	589
772	1996	586
773	1998	583
774	2001	580
775	2003	578
776	2005	575
777	2007	572
778	2009	570
779	2011	567
780	2013	564
781	2015	561
782	2017	559
783	2019	556
784	2021	553
785	2023	551
786	2025	548
787	2028	545
788	2030	542
789	2032	540
790	2034	537
791	2036	534
792	2038	532
793	2040	529
794	2042	526
795	2044	523
796	2046	521
797	2048	518
798	2050	515
799	2052	513
800	2054	510
801	2057	507
802	2059	505
803	2061	502
804	2063	499
805	2065	497
806	2068	494
807	2070	491
808	2072	489
809	2074	486
810	2076	484
811	2079	481
812	2081	478
813	2084	476
814	2086	473
815	2088	470
816	2090	468
817	2093	465
818	2095	463
819	2098	460
820	2100	457
821	2102	455
822	2104	452
823	2107	450
824	2109	447
825	2111	444
826	2113	442
827	2116	439
828	2118	436
829	2120	434
830	2122	431
831	2125	429
832	2127	426
833	2130	423
834	2132	421
835	2134	418
836	2136	416
837	2138	413
838	2141	410
839	2143	408
840	2146	405
841	2148	403
842	2150	400
843	2152	397
844	2155	395
845	2157	392
846	2159	390
847	2162	387
848	2164	384
849	2166	382
850	2168	379
851	2171	377
852	2173	374
853	2175	371
854	2177	369
855	2180	366
856	2182	364
857	2185	361
858	2187	359
859	2189	356
860	2191	353
861	2193	351
862	2196	348
863	2198	346
864	2200	343
865	2203	340
866	2205	338
867	2207	335
868	2209	333
869	2212	330
870	2214	327
871	2216	325
872	2219	322
873	2221	320
874	2223	317
875	2225	315
876	2228	312
877	2230	309
878	2233	307
879	2235	304
880	2237	302
881	2239	299
882	2241	297
883	2244	294
884	2246	291
885	2248	289
886	2250	286
887	2252	284
888	2254	281
889	2256	278
890	2258	276
891	2260	273
892	2262	271
893	2264	268
894	2267	265
895	2269	263
896	2271	260
897	2273	258
898	2275	255
899	2277	253
900	2279	250
901	2281	247
902	2283	245
903	2285	242
904	2287	240
905	2289	237
906	2291	234
907	2293	232
908	2296	229
909	2298	227
910	2300	224
911	2302	222
912	2304	219
913	2306	217
914	2308	214
915	2310	211
916	2312	209
917	2314	206
918	2316	204
919	2319	201
920	2321	199
921	2323	196
922	2326	194
923	2328	191
924	2330	188
925	2332	186
926	2335	183
927	2337	181
928	2339	178
929	2342	176
930	2346	173
931	2351	171
932	2354	169
933	2356	166
934	2359	164
935	2361	161
936	2363	158
937	2366	156
938	2368	153
939	2370	151
940	2372	148
941	2375	146
942	2377	143
943	2380	141
944	2382	138
945	2384	136
946	2387	133
947	2389	131
948	2391	128
949	2394	126
950	2396	123
951	2398	120
952	2401	118
953	2403	115
954	2405	113
955	2407	110
956	2410	108
957	2413	105
958	2415	103
959	2418	100
960	2420	98
961	2422	95
962	2424	93
963	2427	90
964	2429	88
965	2432	85
966	2434	83
967	2436	80
968	2438	78
969	2440	75
970	2443	72
971	2445	70
972	2447	67
973	2449	65
974	2452	62
975	2454	60
976	2456	57
977	2459	55
978	2461	52
979	2464	50
980	2466	47
981	2468	45
982	2471	42
983	2473	40
984	2496	38
985	2502	35
986	2507	33
987	2511	30
988	2515	27
989	2518	25
990	2522	22
991	2525	20
992	2528	17
993	2531	15
994	2534	12
995	2537	10
996	2539	7
997	2542	5
998	2544	2
999	2546	0
