iter	RMSE
0	136.011651
1	133.0425078
2	130.2698356
3	127.6453575
4	125.0446364
5	122.4648617
6	120.1474754
7	118.0227007
8	115.9255197
9	114.0598636
10	112.0205
11	110.1843695
12	108.3732416
13	106.6697385
14	105.0214553
15	103.3416264
16	101.6836899
17	100.2973566
18	98.91461582
19	97.65040194
20	96.34485418
21	95.14644056
22	93.81607658
23	92.62859415
24	91.531606
25	90.43555501
26	89.2236209
27	88.15577553
28	87.26630901
29	86.4143918
30	85.49209001
31	84.71934871
32	83.84785695
33	83.25374667
34	82.5164334
35	81.74141013
36	81.11019028
37	80.33672833
38	79.62969849
39	78.91697993
40	78.27724234
41	77.57930532
42	76.96385266
43	76.43651382
44	75.87414328
45	75.40261936
46	74.85917169
47	74.47247589
48	73.82227776
49	73.27220883
50	72.77953739
51	72.29303384
52	71.79708462
53	71.30698813
54	70.82791141
55	70.54195337
56	70.26892563
57	69.91946894
58	69.56044721
59	69.30016244
60	68.94505441
61	68.61382725
62	68.2676665
63	68.03974236
64	67.68654608
65	67.4009212
66	67.02572452
67	66.81732385
68	66.5621468
69	66.30036645
70	66.03728831
71	65.7707768
72	65.53418657
73	65.30622434
74	65.09090333
75	64.84412324
76	64.63124351
77	64.42332867
78	64.20888543
79	63.99288686
80	63.7688742
81	63.55675961
82	63.39054627
83	63.18819946
84	63.0247443
85	62.82936844
86	62.61768251
87	62.47495913
88	62.29929493
89	62.09872018
90	61.86835718
91	61.63266175
92	61.4220242
93	61.23835074
94	61.07846447
95	60.93917102
96	60.78493082
97	60.60809935
98	60.43813313
99	60.27927122
100	60.15449327
101	60.01852204
102	59.83914666
103	59.68540449
104	59.56415408
105	59.43244328
106	59.26979972
107	59.14468229
108	58.97384401
109	58.79828466
110	58.67026408
111	58.5021012
112	58.40455986
113	58.32629511
114	58.20003956
115	58.12372307
116	57.97396778
117	57.83151747
118	57.71724528
119	57.58898396
120	57.47961109
121	57.40055918
122	57.27081557
123	57.08811048
124	56.97261979
125	56.92117057
126	56.79185782
127	56.69507743
128	56.54564198
129	56.44968447
130	56.32157947
131	56.17644891
132	56.10061931
133	55.99919482
134	55.96264494
135	55.89467
136	55.81997557
137	55.66587036
138	55.58103827
139	55.502683
140	55.43994703
141	55.37401357
142	55.22223217
143	55.09379395
144	55.02776681
145	54.94634779
146	54.84575279
147	54.76906391
148	54.70223684
149	54.60796892
150	54.48461755
151	54.39527583
152	54.35334484
153	54.25055058
154	54.1811996
155	54.07555834
156	54.00730067
157	53.95365966
158	53.86881451
159	53.80560306
160	53.70535361
161	53.65069673
162	53.56238675
163	53.51350788
164	53.45236234
165	53.35358567
166	53.28585569
167	53.23923419
168	53.16388506
169	53.09633321
170	53.00122378
171	52.92296622
172	52.84405332
173	52.77885997
174	52.71249191
175	52.57068016
176	52.48416033
177	52.37939088
178	52.30769362
179	52.24931873
180	52.15154925
181	52.08593379
182	52.04370293
183	51.92996029
184	51.86587294
185	51.81005718
186	51.69274686
187	51.66322233
188	51.62649022
189	51.56352797
190	51.49289442
191	51.40973458
192	51.31521752
193	51.27518397
194	51.2192975
195	51.15249745
196	51.0779345
197	51.00981286
198	50.96626991
199	50.92582669
200	50.79958592
201	50.75759423
202	50.71443524
203	50.64962841
204	50.54069255
205	50.48023853
206	50.38452178
207	50.31352519
208	50.26546955
209	50.17592919
210	50.11325428
211	50.02439019
212	49.9661512
213	49.88394375
214	49.81602
215	49.78094636
216	49.70492657
217	49.56003482
218	49.5410846
219	49.50641699
220	49.46849072
221	49.40294107
222	49.32612002
223	49.30880132
224	49.2122217
225	49.1061927
226	49.0694725
227	48.99678925
228	48.97689381
229	48.91097314
230	48.83406566
231	48.77660524
232	48.75891886
233	48.71654811
234	48.6064492
235	48.58838974
236	48.50220457
237	48.4305238
238	48.3328497
239	48.26582808
240	48.2109608
241	48.14561448
242	48.06580304
243	47.96477725
244	47.91672262
245	47.85222065
246	47.79155425
247	47.7464105
248	47.67853072
249	47.59747648
250	47.5050247
251	47.44656176
252	47.38206896
253	47.34115333
254	47.27543349
255	47.15833069
256	47.07798614
257	47.02777921
258	46.97276555
259	46.95380257
260	46.92771943
261	46.81683393
262	46.72398958
263	46.64544319
264	46.60499316
265	46.48404446
266	46.3952659
267	46.3742568
268	46.29524169
269	46.23380358
270	46.1377365
271	46.05155637
272	45.96616713
273	45.95151039
274	45.90016538
275	45.89065462
276	45.84038874
277	45.82790187
278	45.80789587
279	45.74093979
280	45.65914991
281	45.63571359
282	45.574171
283	45.56104965
284	45.48292502
285	45.3901364
286	45.33993609
287	45.32070703
288	45.31146164
289	45.29896962
290	45.28936541
291	45.27680638
292	45.25771621
293	45.24881113
294	45.23625758
295	45.20985565
296	45.20234148
297	45.17860956
298	45.09593394
299	45.08561995
300	45.0752052
301	45.06192509
302	44.96042292
303	44.87118781
304	44.80830293
305	44.78873816
306	44.71093571
307	44.66464231
308	44.58970131
309	44.53519821
310	44.52609007
311	44.48847496
312	44.47434172
313	44.46302697
314	44.42150954
315	44.41339839
316	44.28894253
317	44.17525355
318	44.10117573
319	44.05293115
320	43.94859191
321	43.83794535
322	43.741473
323	43.65242937
324	43.56082073
325	43.48355136
326	43.42180465
327	43.39963561
328	43.35251609
329	43.23081736
330	43.15123735
331	43.08216021
332	42.99297875
333	42.91197832
334	42.90609583
335	42.82276256
336	42.7286944
337	42.68116367
338	42.67648865
339	42.5952178
340	42.52747801
341	42.46068084
342	42.45010987
343	42.44268898
344	42.43184406
345	42.42535478
346	42.35099993
347	42.2840726
348	42.2194578
349	42.14052246
350	42.06898186
351	41.98355564
352	41.93276179
353	41.87145587
354	41.84633991
355	41.76850006
356	41.74651574
357	41.65956262
358	41.58658303
359	41.56877137
360	41.54575522
361	41.47473971
362	41.45368944
363	41.38389869
364	41.31216057
365	41.22807453
366	41.15464256
367	41.06599345
368	41.01157763
369	40.92886034
370	40.88133743
371	40.83646392
372	40.78614727
373	40.70668286
374	40.68885119
375	40.63384006
376	40.55051208
377	40.47314216
378	40.42298394
379	40.34262999
380	40.30305097
381	40.26157524
382	40.23375877
383	40.18853957
384	40.11903247
385	40.04585094
386	39.99152647
387	39.92352897
388	39.847578
389	39.80274076
390	39.70960573
391	39.64834534
392	39.62502477
393	39.59251603
394	39.53181599
395	39.47758403
396	39.44281866
397	39.37321225
398	39.34151364
399	39.29010705
400	39.24550582
401	39.24029018
402	39.19997028
403	39.15456938
404	39.10459611
405	39.04447511
406	39.00581056
407	38.92096048
408	38.85311316
409	38.82379032
410	38.76108383
411	38.69769325
412	38.64812283
413	38.6208355
414	38.56680487
415	38.51551701
416	38.44601586
417	38.39503052
418	38.35584077
419	38.34040588
420	38.32486826
421	38.26376651
422	38.2141358
423	38.21010257
424	38.1459183
425	38.08638882
426	38.05316287
427	38.00428267
428	37.95961634
429	37.90039225
430	37.85931543
431	37.83728346
432	37.78454813
433	37.72094539
434	37.63862845
435	37.58074819
436	37.57299455
437	37.50101226
438	37.49673392
439	37.49233389
440	37.42061185
441	37.38372469
442	37.33996382
443	37.26653131
444	37.24374933
445	37.18098314
446	37.1217253
447	37.08110756
448	37.04545849
449	37.00201814
450	36.95535514
451	36.92984565
452	36.89276643
453	36.82912262
454	36.78405534
455	36.73380886
456	36.67446341
457	36.64273276
458	36.59880056
459	36.53210116
460	36.46138002
461	36.37917508
462	36.35323678
463	36.32092645
464	36.26197583
465	36.21279364
466	36.14317899
467	36.11701724
468	36.07952214
469	36.04654574
470	35.96536437
471	35.90860396
472	35.89862014
473	35.89454534
474	35.86176224
475	35.80174109
476	35.77389702
477	35.75687379
478	35.70176802
479	35.64961141
480	35.61576058
481	35.55286538
482	35.50523227
483	35.43862835
484	35.35451095
485	35.30549037
486	35.23359975
487	35.19012688
488	35.16143224
489	35.11968807
490	35.0410622
491	34.98432728
492	34.93442986
493	34.91189535
494	34.87654653
495	34.83691944
496	34.79567096
497	34.75735608
498	34.739678
499	34.69930238
500	34.63650111
501	34.59181655
502	34.53956034
503	34.49212187
504	34.45308433
505	34.42139111
506	34.38194055
507	34.35025808
508	34.26997021
509	34.2624777
510	34.24266235
511	34.21214622
512	34.17269899
513	34.12331959
514	34.10533186
515	34.08071865
516	34.04152776
517	33.98951656
518	33.94636265
519	33.89104272
520	33.85330932
521	33.80774804
522	33.76355862
523	33.70763902
524	33.66291613
525	33.63329036
526	33.58950458
527	33.55018064
528	33.50819404
529	33.46989417
530	33.44013172
531	33.41999325
532	33.36420883
533	33.3102189
534	33.27747418
535	33.23244077
536	33.19260204
537	33.16463107
538	33.1551341
539	33.10372226
540	33.07135961
541	33.04053523
542	32.9822082
543	32.93975625
544	32.93037695
545	32.89752763
546	32.85124409
